title,media,date,datetime,desc,link,img
WMO & other topics - PGA Spokesperson's Briefing | UN Web TV,UN Web TV,1 week ago,2023-06-10 18:02:41.097893,"Friday, 9 June 2023. WMO. President Csaba Kőrösi spoke today with Professor Celeste Saulo, Secretary-General-elect of World Meteorological Organization...",https://media.un.org/en/asset/k14/k14d2ga8zg,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"EPFO SSA Syllabus 2023, Steno & SSA Exam Pattern",BankersAdda,1 week ago,2023-06-10 18:02:41.112895,EPFO SSA Syllabus 2023 and exam pattern should be known to all. The article below has the complete EPFO SSA syllabus and Exam Pattern.,https://www.bankersadda.com/epfo-ssa-syllabus/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"UNRWA, Deputy Secretary-General, Security Council & other topics - Daily Press Briefing (2 June)",YouTube,2 weeks ago,2023-06-03 18:02:41.124895,"Noon briefing by Farhan Haq, Deputy Spokesperson for the Secretary-General. Highlights: - UNRWA - Deputy Secretary-General - Security Council - Lebanon...",https://www.youtube.com/watch?v=7HpJN7uDMrI,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"UNRWA, Bicycles & other topics – PGA Spokesperson's Briefing",UN Web TV,2 weeks ago,2023-06-03 18:02:41.136897,"Briefing by Paulina Kubiak, Spokesperson for the President of the 77th Session of the General Assembly.",https://media.un.org/en/asset/k18/k18uqdk9un,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Election of the New President of the General Assembly & other topics - Daily Press Briefing (1 June),YouTube,2 weeks ago,2023-06-03 18:02:41.147909,"Noon briefing by Stéphane Dujarric, Spokesperson for the Secretary-General. Highlights:- Election of New President of the General Assembly- Black Sea...",https://www.youtube.com/watch?v=0DHBhd2-hn8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Hot Legal Topics – Episode 3: Immigration Law - General Immigration - Australia,Mondaq,2 weeks ago,2023-06-03 18:02:41.160425,"Hot Legal Topics is a new video series, hosted by Rebecca Spoor, the Business Development Manager at Roam Migration Law, in which leading Australian lawyers...",https://www.mondaq.com/australia/general-immigration/1322312/hot-legal-topics--episode-3-immigration-law,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"CUET General Test Syllabus 2023: PDF Download, Check Important Topics, Pattern",Jagran Josh,1 month ago,2023-05-17 18:02:41.174430,CUET General Test Syllabus 2023 for the written exam is notified. Check unit-wise topics for exam preparation. Download the latest CUET Geography Syllabus...,https://www.jagranjosh.com/articles/cuet-general-test-syllabus-exam-pattern-pdf-download-1683891567-1,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
Prime Minister and UN Secretary-General Discuss Several Key Topics – Jamaica Information Service,Jamaica Information Service,1 month ago,2023-05-17 18:02:41.187428,"Prime Minister, the Most Hon. Andrew Holness, today (May 15) held bilateral talks with United Nations Secretary-General, António Guterres, at the Office of...",https://jis.gov.jm/prime-minister-and-un-secretary-general-discuss-several-key-topics/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Secretary-General Travel, Sudan, Abyei & other topics - Daily Press Briefing",UN Web TV,1 month ago,2023-05-17 18:02:41.200424,Daily Press Briefing by the Deputy Spokesperson of the Secretary-General Farhan Haq.,https://media.un.org/en/asset/k1u/k1u5c7kqom,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
"Jordan, Bahrain & other topics – PGA Spokesperson Briefing",UN Web TV,1 month ago,2023-05-17 18:02:41.214424,"Briefing by Paulina Kubiak, Spokesperson for the President of the 77th Session of the General Assembly.",https://media.un.org/en/asset/k13/k13uwtc5a8,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
